DataSize,MapSize,LoadFactor,LookupTimeMs
10000,16,625.0000,66.2739
10000,64,156.2500,20.0697
10000,256,39.0625,19.0452
10000,1024,9.7656,2.8032
10000,4096,2.4414,2.1008
50000,16,3125.0000,39.6478
50000,64,781.2500,15.1343
50000,256,195.3125,4.1769
50000,1024,48.8281,1.8192
50000,4096,12.2070,1.1878
100000,16,6250.0000,42.7295
100000,64,1562.5000,26.4964
100000,256,390.6250,3.1677
100000,1024,97.6563,1.4557
100000,4096,24.4141,0.9671
